user_id,event,timestamp,arm
P014,app_open,2026-03-02T21:00:00,control
P004,app_open,2026-03-02T21:13:00,intervention
P011,app_open,2026-03-02T21:13:00,intervention
P001,app_open,2026-03-02T21:15:00,intervention
P011,breathing_start,2026-03-02T21:15:00,intervention
P001,breathing_start,2026-03-02T21:16:00,intervention
P004,breathing_start,2026-03-02T21:16:00,intervention
P001,breathing_complete,2026-03-02T21:26:00,intervention
P001,sleep_report,2026-03-02T21:27:00,intervention
P011,breathing_complete,2026-03-02T21:28:00,intervention
P011,sleep_report,2026-03-02T21:30:00,intervention
P003,app_open,2026-03-02T21:37:00,intervention
P003,breathing_start,2026-03-02T21:39:00,intervention
P017,app_open,2026-03-02T21:41:00,control
P017,breathing_start,2026-03-02T21:42:00,control
P022,app_open,2026-03-02T21:45:00,control
P003,breathing_complete,2026-03-02T21:55:00,intervention
P003,sleep_report,2026-03-02T21:58:00,intervention
P017,breathing_complete,2026-03-02T22:01:00,control
P017,sleep_report,2026-03-02T22:04:00,control
P017,app_open,2026-03-03T21:17:00,control
P017,breathing_start,2026-03-03T21:18:00,control
P016,app_open,2026-03-03T21:24:00,control
P018,app_open,2026-03-03T21:24:00,control
P016,breathing_start,2026-03-03T21:26:00,control
P018,breathing_start,2026-03-03T21:26:00,control
P014,app_open,2026-03-03T21:27:00,control
P017,breathing_complete,2026-03-03T21:27:00,control
P017,sleep_report,2026-03-03T21:32:00,control
P001,app_open,2026-03-03T21:33:00,intervention
P018,breathing_complete,2026-03-03T21:34:00,control
P001,breathing_start,2026-03-03T21:36:00,intervention
P018,sleep_report,2026-03-03T21:36:00,control
P009,app_open,2026-03-03T21:43:00,intervention
P009,breathing_start,2026-03-03T21:45:00,intervention
P006,app_open,2026-03-03T21:46:00,intervention
P008,app_open,2026-03-03T21:47:00,intervention
P011,app_open,2026-03-03T21:47:00,intervention
P006,breathing_start,2026-03-03T21:48:00,intervention
P008,breathing_start,2026-03-03T21:50:00,intervention
P001,breathing_complete,2026-03-03T21:55:00,intervention
P001,sleep_report,2026-03-03T21:58:00,intervention
P006,breathing_complete,2026-03-03T21:58:00,intervention
P006,sleep_report,2026-03-03T22:03:00,intervention
P008,breathing_complete,2026-03-03T22:03:00,intervention
P008,sleep_report,2026-03-03T22:06:00,intervention
P003,app_open,2026-03-04T21:00:00,intervention
P003,breathing_start,2026-03-04T21:01:00,intervention
P020,app_open,2026-03-04T21:02:00,control
P006,app_open,2026-03-04T21:03:00,intervention
P006,breathing_start,2026-03-04T21:04:00,intervention
P020,breathing_start,2026-03-04T21:04:00,control
P010,app_open,2026-03-04T21:06:00,intervention
P004,app_open,2026-03-04T21:08:00,intervention
P003,breathing_complete,2026-03-04T21:09:00,intervention
P010,breathing_start,2026-03-04T21:09:00,intervention
P004,breathing_start,2026-03-04T21:10:00,intervention
P022,app_open,2026-03-04T21:11:00,control
P016,app_open,2026-03-04T21:13:00,control
P009,app_open,2026-03-04T21:15:00,intervention
P002,app_open,2026-03-04T21:17:00,intervention
P009,breathing_start,2026-03-04T21:17:00,intervention
P004,breathing_complete,2026-03-04T21:18:00,intervention
P002,breathing_start,2026-03-04T21:20:00,intervention
P004,sleep_report,2026-03-04T21:23:00,intervention
P009,breathing_complete,2026-03-04T21:35:00,intervention
P001,app_open,2026-03-04T21:36:00,intervention
P008,app_open,2026-03-04T21:37:00,intervention
P001,breathing_start,2026-03-04T21:38:00,intervention
P008,breathing_start,2026-03-04T21:38:00,intervention
P009,sleep_report,2026-03-04T21:38:00,intervention
P014,app_open,2026-03-04T21:43:00,control
P001,breathing_complete,2026-03-04T21:46:00,intervention
P018,app_open,2026-03-04T21:49:00,control
P008,breathing_complete,2026-03-04T21:52:00,intervention
P018,breathing_start,2026-03-04T21:52:00,control
P008,sleep_report,2026-03-04T21:53:00,intervention
P003,app_open,2026-03-05T21:03:00,intervention
P003,breathing_start,2026-03-05T21:04:00,intervention
P008,app_open,2026-03-05T21:06:00,intervention
P013,app_open,2026-03-05T21:06:00,control
P013,breathing_start,2026-03-05T21:09:00,control
P014,app_open,2026-03-05T21:19:00,control
P009,app_open,2026-03-05T21:21:00,intervention
P014,breathing_start,2026-03-05T21:21:00,control
P004,app_open,2026-03-05T21:22:00,intervention
P013,breathing_complete,2026-03-05T21:22:00,control
P009,breathing_start,2026-03-05T21:23:00,intervention
P004,breathing_start,2026-03-05T21:25:00,intervention
P014,breathing_complete,2026-03-05T21:31:00,control
P009,breathing_complete,2026-03-05T21:34:00,intervention
P014,sleep_report,2026-03-05T21:34:00,control
P021,app_open,2026-03-05T21:36:00,control
P019,app_open,2026-03-05T21:40:00,control
P001,app_open,2026-03-05T21:41:00,intervention
P012,app_open,2026-03-05T21:42:00,intervention
P018,app_open,2026-03-05T21:43:00,control
P001,breathing_start,2026-03-05T21:44:00,intervention
P010,app_open,2026-03-05T21:44:00,intervention
P012,breathing_start,2026-03-05T21:45:00,intervention
P010,breathing_start,2026-03-05T21:46:00,intervention
P011,app_open,2026-03-05T21:47:00,intervention
P006,app_open,2026-03-05T21:50:00,intervention
P011,breathing_start,2026-03-05T21:50:00,intervention
P006,breathing_start,2026-03-05T21:51:00,intervention
P001,breathing_complete,2026-03-05T21:55:00,intervention
P001,sleep_report,2026-03-05T21:56:00,intervention
P012,breathing_complete,2026-03-05T21:58:00,intervention
P012,sleep_report,2026-03-05T22:00:00,intervention
P006,breathing_complete,2026-03-05T22:02:00,intervention
P006,sleep_report,2026-03-05T22:05:00,intervention
P011,breathing_complete,2026-03-05T22:06:00,intervention
P010,breathing_complete,2026-03-05T22:07:00,intervention
P011,sleep_report,2026-03-05T22:08:00,intervention
P010,sleep_report,2026-03-05T22:09:00,intervention
P006,app_open,2026-03-06T21:01:00,intervention
P006,breathing_start,2026-03-06T21:02:00,intervention
P024,app_open,2026-03-06T21:03:00,control
P007,app_open,2026-03-06T21:05:00,intervention
P007,breathing_start,2026-03-06T21:07:00,intervention
P011,app_open,2026-03-06T21:10:00,intervention
P006,breathing_complete,2026-03-06T21:11:00,intervention
P005,app_open,2026-03-06T21:12:00,intervention
P011,breathing_start,2026-03-06T21:13:00,intervention
P005,breathing_start,2026-03-06T21:14:00,intervention
P013,app_open,2026-03-06T21:15:00,control
P006,sleep_report,2026-03-06T21:16:00,intervention
P019,app_open,2026-03-06T21:16:00,control
P004,app_open,2026-03-06T21:17:00,intervention
P010,app_open,2026-03-06T21:17:00,intervention
P019,breathing_start,2026-03-06T21:17:00,control
P003,app_open,2026-03-06T21:19:00,intervention
P004,breathing_start,2026-03-06T21:19:00,intervention
P003,breathing_start,2026-03-06T21:22:00,intervention
P023,app_open,2026-03-06T21:24:00,control
P019,breathing_complete,2026-03-06T21:25:00,control
P005,breathing_complete,2026-03-06T21:28:00,intervention
P007,breathing_complete,2026-03-06T21:28:00,intervention
P004,breathing_complete,2026-03-06T21:29:00,intervention
P005,sleep_report,2026-03-06T21:29:00,intervention
P004,sleep_report,2026-03-06T21:34:00,intervention
P008,app_open,2026-03-06T21:37:00,intervention
P002,app_open,2026-03-06T21:43:00,intervention
P003,breathing_complete,2026-03-06T21:44:00,intervention
P009,app_open,2026-03-06T21:44:00,intervention
P002,breathing_start,2026-03-06T21:45:00,intervention
P009,breathing_start,2026-03-06T21:45:00,intervention
P015,app_open,2026-03-06T21:50:00,control
P022,app_open,2026-03-06T21:50:00,control
P015,breathing_start,2026-03-06T21:53:00,control
P022,breathing_start,2026-03-06T21:53:00,control
P002,breathing_complete,2026-03-06T22:04:00,intervention
P009,breathing_complete,2026-03-06T22:04:00,intervention
P002,sleep_report,2026-03-06T22:05:00,intervention
P009,sleep_report,2026-03-06T22:08:00,intervention
P007,app_open,2026-03-07T21:02:00,intervention
P007,breathing_start,2026-03-07T21:04:00,intervention
P019,app_open,2026-03-07T21:08:00,control
P007,breathing_complete,2026-03-07T21:14:00,intervention
P016,app_open,2026-03-07T21:16:00,control
P005,app_open,2026-03-07T21:20:00,intervention
P003,app_open,2026-03-07T21:21:00,intervention
P003,breathing_start,2026-03-07T21:23:00,intervention
P022,app_open,2026-03-07T21:29:00,control
P013,app_open,2026-03-07T21:35:00,control
P015,app_open,2026-03-07T21:35:00,control
P008,app_open,2026-03-07T21:37:00,intervention
P013,breathing_start,2026-03-07T21:37:00,control
P024,app_open,2026-03-07T21:37:00,control
P010,app_open,2026-03-07T21:46:00,intervention
P010,breathing_start,2026-03-07T21:47:00,intervention
P013,breathing_complete,2026-03-07T21:59:00,control
P010,breathing_complete,2026-03-07T22:00:00,intervention
P010,sleep_report,2026-03-07T22:03:00,intervention
P013,sleep_report,2026-03-07T22:03:00,control
P008,app_open,2026-03-08T21:05:00,intervention
P019,app_open,2026-03-08T21:05:00,control
P019,breathing_start,2026-03-08T21:06:00,control
P022,app_open,2026-03-08T21:06:00,control
P008,breathing_start,2026-03-08T21:07:00,intervention
P022,breathing_start,2026-03-08T21:08:00,control
P002,app_open,2026-03-08T21:11:00,intervention
P008,breathing_complete,2026-03-08T21:15:00,intervention
P008,sleep_report,2026-03-08T21:16:00,intervention
P010,app_open,2026-03-08T21:18:00,intervention
P019,breathing_complete,2026-03-08T21:27:00,control
P009,app_open,2026-03-08T21:28:00,intervention
P009,breathing_start,2026-03-08T21:31:00,intervention
P005,app_open,2026-03-08T21:44:00,intervention
P009,breathing_complete,2026-03-08T21:45:00,intervention
P005,breathing_start,2026-03-08T21:47:00,intervention
P009,sleep_report,2026-03-08T21:48:00,intervention
P007,app_open,2026-03-09T21:07:00,intervention
P007,breathing_start,2026-03-09T21:08:00,intervention
P019,app_open,2026-03-09T21:10:00,control
P019,breathing_start,2026-03-09T21:11:00,control
P003,app_open,2026-03-09T21:14:00,intervention
P013,app_open,2026-03-09T21:14:00,control
P002,app_open,2026-03-09T21:16:00,intervention
P002,breathing_start,2026-03-09T21:17:00,intervention
P003,breathing_start,2026-03-09T21:17:00,intervention
P009,app_open,2026-03-09T21:17:00,intervention
P005,app_open,2026-03-09T21:20:00,intervention
P009,breathing_start,2026-03-09T21:20:00,intervention
P005,breathing_start,2026-03-09T21:23:00,intervention
P007,breathing_complete,2026-03-09T21:26:00,intervention
P007,sleep_report,2026-03-09T21:29:00,intervention
P002,breathing_complete,2026-03-09T21:32:00,intervention
P009,breathing_complete,2026-03-09T21:34:00,intervention
P002,sleep_report,2026-03-09T21:36:00,intervention
P003,breathing_complete,2026-03-09T21:36:00,intervention
P005,breathing_complete,2026-03-09T21:37:00,intervention
P005,sleep_report,2026-03-09T21:38:00,intervention
P008,app_open,2026-03-09T21:39:00,intervention
P003,sleep_report,2026-03-09T21:40:00,intervention
P008,breathing_start,2026-03-09T21:40:00,intervention
P008,breathing_complete,2026-03-09T21:55:00,intervention
P005,app_open,2026-03-10T21:18:00,intervention
P005,breathing_start,2026-03-10T21:21:00,intervention
P007,app_open,2026-03-10T21:25:00,intervention
P007,breathing_start,2026-03-10T21:28:00,intervention
P005,breathing_complete,2026-03-10T21:33:00,intervention
P005,sleep_report,2026-03-10T21:35:00,intervention
P009,app_open,2026-03-10T21:35:00,intervention
P007,breathing_complete,2026-03-10T21:36:00,intervention
P009,breathing_start,2026-03-10T21:36:00,intervention
P007,sleep_report,2026-03-10T21:37:00,intervention
P021,app_open,2026-03-10T21:37:00,control
P009,breathing_complete,2026-03-10T21:54:00,intervention
P009,app_open,2026-03-11T21:01:00,intervention
P009,breathing_start,2026-03-11T21:02:00,intervention
P009,breathing_complete,2026-03-11T21:23:00,intervention
P009,sleep_report,2026-03-11T21:24:00,intervention
P007,app_open,2026-03-11T21:29:00,intervention
P007,breathing_start,2026-03-11T21:32:00,intervention
P021,app_open,2026-03-11T21:32:00,control
P021,breathing_start,2026-03-11T21:33:00,control
P008,app_open,2026-03-11T21:42:00,intervention
P008,breathing_start,2026-03-11T21:43:00,intervention
P022,app_open,2026-03-11T21:44:00,control
P003,app_open,2026-03-11T21:46:00,intervention
P022,breathing_start,2026-03-11T21:46:00,control
P021,breathing_complete,2026-03-11T21:47:00,control
P003,breathing_start,2026-03-11T21:49:00,intervention
P008,breathing_complete,2026-03-11T22:01:00,intervention
P008,sleep_report,2026-03-11T22:05:00,intervention
P003,breathing_complete,2026-03-11T22:09:00,intervention
P003,sleep_report,2026-03-11T22:11:00,intervention
P007,app_open,2026-03-12T21:03:00,intervention
P007,breathing_start,2026-03-12T21:04:00,intervention
P021,app_open,2026-03-12T21:12:00,control
P009,app_open,2026-03-12T21:14:00,intervention
P021,breathing_start,2026-03-12T21:15:00,control
P009,breathing_start,2026-03-12T21:17:00,intervention
P022,app_open,2026-03-12T21:23:00,control
P022,breathing_start,2026-03-12T21:25:00,control
P009,breathing_complete,2026-03-12T21:31:00,intervention
P022,app_open,2026-03-13T21:18:00,control
P003,app_open,2026-03-13T21:23:00,intervention
P007,app_open,2026-03-13T21:23:00,intervention
P007,breathing_start,2026-03-13T21:25:00,intervention
P002,app_open,2026-03-13T21:32:00,intervention
